Year,Month,Ocean,Temperature,Salinity,Depth_m
2020,Oct,Indian,24.04,35.39,0
2023,Mar,Indian,15.39,34.66,0
2018,Jun,Indian,4.51,35.02,10
2021,Oct,Indian,0.69,32.43,200
2019,Sep,Indian,29.76,30.84,100
2021,Aug,Indian,19.42,30.95,50
2019,Oct,Indian,13.97,32.2,50
2023,Aug,Atlantic,10.02,32.62,0
2023,Mar,Pacific,2.17,36.36,100
2023,Jan,Atlantic,19.36,32.64,0
2019,Mar,Indian,11.07,33.05,200
2021,Mar,Indian,29.69,33.01,0
2023,Dec,Atlantic,3.26,35.1,100
2022,Jun,Indian,7.38,30.21,50
2019,Mar,Atlantic,12.1,33.13,50
2019,Feb,Indian,23.92,36.08,50
2021,Dec,Indian,23.31,36.11,0
2019,Sep,Pacific,7.33,35.18,50
2019,Jun,Indian,10.84,32.81,50
2023,May,Pacific,1.77,31.76,50
2021,Dec,Pacific,11.35,30.64,10
2023,Mar,Atlantic,5.05,33.37,50
2023,Jul,Pacific,27.59,36.0,10
2021,Jul,Atlantic,24.24,32.44,50
2018,Apr,Atlantic,4.95,33.59,200
2023,Oct,Pacific,14.72,32.3,50
2022,Feb,Atlantic,28.75,32.82,100
2022,Feb,Pacific,12.32,30.98,0
2019,Dec,Indian,13.44,34.86,50
2022,Aug,Atlantic,10.25,30.34,200
2019,Apr,Pacific,14.77,36.82,10
2018,Jul,Pacific,17.9,32.69,100
2021,Mar,Pacific,2.7,31.9,50
2021,Sep,Pacific,2.78,34.13,0
2021,Oct,Indian,23.07,36.32,0
2022,Sep,Atlantic,29.48,36.19,50
2018,Jul,Pacific,14.74,36.48,0
2022,Jul,Atlantic,25.84,30.66,50
2022,Jan,Pacific,26.07,31.59,0
2018,Oct,Atlantic,11.09,30.51,0
2018,Aug,Pacific,9.87,30.65,200
2018,Feb,Pacific,21.89,31.32,100
2018,Aug,Indian,27.32,30.84,10
2021,Nov,Atlantic,25.61,32.32,200
2020,Feb,Pacific,9.58,32.86,50
2020,Jan,Pacific,10.65,32.37,0
2018,Nov,Indian,22.09,32.86,50
2020,Aug,Indian,9.52,36.08,100
2020,Apr,Indian,25.56,35.79,0
2018,Nov,Indian,15.28,36.74,0
2020,Oct,Indian,8.78,35.51,50
2022,Jun,Atlantic,8.59,35.89,10
2019,Oct,Pacific,23.52,34.86,100
2019,Nov,Atlantic,3.74,31.22,0
2018,Oct,Indian,27.96,36.56,100
2021,Jan,Pacific,12.4,31.46,0
2018,Sep,Atlantic,25.32,34.74,0
2021,Nov,Indian,23.77,31.61,50
2019,Jul,Atlantic,23.38,30.63,50
2018,May,Atlantic,20.23,31.37,0
2023,Jun,Indian,14.98,31.62,50
2022,Mar,Pacific,11.7,32.66,0
2020,Sep,Indian,17.42,30.48,10
2021,Feb,Indian,15.81,34.1,0
2023,Dec,Atlantic,10.53,35.59,10
2020,Oct,Pacific,14.8,35.35,200
2020,Jan,Indian,10.95,35.86,100
2018,Jan,Pacific,19.74,36.86,100
2020,Oct,Atlantic,25.05,36.97,0
2022,Feb,Indian,23.61,32.87,0
2023,Jun,Pacific,10.22,33.51,50
2020,Jun,Pacific,15.28,33.49,200
2018,Sep,Atlantic,0.32,34.49,200
2022,Oct,Pacific,26.11,31.72,0
2019,Apr,Pacific,7.36,35.41,10
2023,Aug,Pacific,13.23,30.89,200
2020,Apr,Indian,4.58,36.66,100
2018,Mar,Indian,20.34,30.87,0
2019,Apr,Atlantic,16.36,35.2,50
2019,Jan,Atlantic,10.94,32.78,200
2021,Sep,Indian,16.06,34.44,10
2022,Nov,Pacific,5.06,32.2,0
2020,May,Indian,23.27,30.84,50
2018,Jul,Atlantic,7.98,36.57,0
2021,Mar,Atlantic,18.45,33.57,10
2022,May,Indian,26.98,32.1,0
2021,Oct,Atlantic,1.16,34.37,100
2023,Apr,Atlantic,11.63,31.81,100
2022,Jul,Atlantic,4.05,30.28,50
2022,May,Atlantic,27.26,35.56,100
2020,Feb,Atlantic,10.8,36.97,10
2022,Mar,Pacific,6.4,36.7,100
2021,Aug,Indian,20.29,36.16,0
2022,Mar,Atlantic,16.3,35.23,200
2020,Jul,Atlantic,24.51,31.13,100
2020,May,Atlantic,22.59,31.09,50
2023,Jul,Indian,29.24,31.05,10
2021,Oct,Indian,2.72,33.22,10
2019,Sep,Indian,2.41,33.33,0
2019,Jul,Atlantic,27.22,34.04,10
2022,Jun,Atlantic,28.67,31.59,50
2023,Dec,Indian,12.2,30.28,10
2018,Jan,Pacific,13.68,30.71,0
2022,Apr,Pacific,11.06,30.49,100
2023,Aug,Indian,23.33,35.55,10
2021,Jan,Atlantic,23.12,30.94,100
2021,Jun,Atlantic,6.61,35.25,10
2021,Feb,Pacific,11.52,30.75,10
2021,Sep,Atlantic,6.37,33.47,50
2021,Aug,Indian,1.4,32.02,10
2023,Sep,Atlantic,1.68,34.56,50
2023,Sep,Atlantic,4.4,31.02,100
2020,Feb,Indian,0.9,34.12,100
2019,Feb,Pacific,12.7,34.0,100
2021,Sep,Indian,1.92,32.82,200
2018,Feb,Atlantic,25.42,33.38,0
2023,Apr,Indian,21.36,31.03,50
2018,Feb,Indian,23.51,35.67,100
2018,Jan,Pacific,18.52,34.23,0
2018,Dec,Pacific,19.92,30.84,10
2020,Nov,Atlantic,3.4,36.42,200
2023,Oct,Indian,1.75,34.36,10
2018,Jul,Atlantic,29.68,31.21,100
2021,Dec,Indian,11.19,31.57,50
2022,Nov,Indian,1.54,31.43,10
2018,May,Pacific,4.79,31.58,0
2020,Mar,Indian,26.23,31.47,10
2023,Aug,Pacific,6.17,35.22,50
2020,May,Indian,14.01,34.14,10
2018,Jan,Atlantic,20.02,31.63,10
2023,Sep,Atlantic,28.98,36.52,100
2022,May,Indian,0.42,30.08,50
2018,Mar,Pacific,14.63,34.8,10
2020,Jun,Pacific,29.88,33.8,10
2019,Aug,Pacific,3.65,33.72,200
2021,Feb,Indian,3.71,33.86,10
2020,Nov,Atlantic,2.61,33.41,50
2023,Mar,Pacific,15.24,36.63,10
2018,Jul,Atlantic,10.45,34.33,100
2021,Feb,Pacific,21.49,33.22,200
2018,Nov,Indian,17.14,36.02,50
2023,Nov,Indian,17.43,36.23,10
2018,Dec,Pacific,15.33,35.42,100
2019,May,Atlantic,29.76,34.02,0
2021,Sep,Pacific,16.17,30.3,10
2021,Jul,Pacific,2.17,36.37,0
2023,Mar,Pacific,9.67,35.72,100
2019,Feb,Atlantic,23.42,36.53,200
2020,Oct,Pacific,18.85,30.94,10
2018,Sep,Pacific,20.52,36.73,10
2022,Sep,Indian,27.65,36.76,200
2018,Sep,Atlantic,13.31,33.17,100
2018,Oct,Indian,0.59,30.52,10
2020,Mar,Indian,29.7,34.35,200
2018,Jan,Pacific,13.64,34.38,0
2019,Sep,Pacific,2.93,33.71,100
2019,Jul,Pacific,16.46,32.3,0
2021,Feb,Indian,17.71,30.5,100
2023,Jun,Atlantic,16.93,33.94,10
2022,Nov,Atlantic,28.95,32.2,50
2018,Sep,Indian,9.59,30.7,200
2018,Aug,Indian,1.04,31.33,0
2020,Nov,Atlantic,27.59,35.53,0
2023,Dec,Pacific,5.74,35.65,0
2019,Jun,Atlantic,22.48,35.37,100
2022,Jun,Indian,6.12,30.53,50
2021,Aug,Pacific,24.87,30.77,100
2019,Sep,Pacific,27.19,31.63,200
2023,Aug,Atlantic,3.16,36.86,10
2021,Jan,Pacific,4.42,31.92,50
2020,Feb,Indian,27.76,36.54,10
2020,Jun,Atlantic,23.12,34.61,200
2018,Aug,Indian,1.17,30.19,100
2023,Apr,Indian,5.47,33.41,0
2022,Dec,Indian,12.36,35.85,200
2021,Apr,Atlantic,25.93,30.44,50
2019,Feb,Indian,4.53,34.27,0
2023,Oct,Indian,21.72,32.24,50
2023,Jan,Pacific,2.51,31.4,200
2020,Oct,Pacific,14.02,33.7,0
2018,Sep,Indian,21.87,35.57,200
2018,Jul,Pacific,1.94,35.45,10
2021,Sep,Atlantic,6.13,31.22,100
2020,Feb,Pacific,23.75,32.44,200
2023,Oct,Atlantic,4.91,32.44,50
2022,May,Atlantic,20.03,35.77,0
2020,Feb,Pacific,19.27,33.47,200
2021,Oct,Pacific,15.61,32.63,0
2021,Jul,Atlantic,6.05,35.64,200
2020,Sep,Indian,12.51,36.24,0
2021,Mar,Indian,18.65,32.27,10
2020,Jan,Indian,26.45,36.9,50
2019,Apr,Indian,23.94,33.75,200
2020,Apr,Pacific,18.22,30.43,0
2020,Nov,Pacific,6.85,32.56,200
2021,Jun,Atlantic,6.5,33.81,50
2021,May,Atlantic,24.42,35.79,50
2018,Dec,Indian,19.93,34.96,100
2018,May,Atlantic,10.74,31.4,50
2019,Sep,Pacific,29.14,32.97,100
2018,Nov,Indian,26.69,30.69,0
2020,Jan,Indian,20.15,36.14,50
2021,Aug,Indian,11.08,30.03,50
2018,Aug,Atlantic,9.26,31.82,50
2018,Nov,Indian,28.18,35.34,10
2019,Aug,Pacific,13.3,30.15,10
2023,Dec,Indian,24.0,35.05,50
2019,Mar,Atlantic,28.19,34.58,10
2020,Oct,Atlantic,14.76,33.12,200
2021,Aug,Indian,19.59,30.99,200
2019,Feb,Indian,2.59,32.17,10
2018,Aug,Atlantic,19.58,31.39,200
2021,Dec,Pacific,6.45,30.04,50
2021,Aug,Pacific,20.12,32.57,50
2018,Mar,Indian,3.03,36.32,200
2019,Apr,Indian,14.86,33.36,10
2018,Sep,Indian,15.63,34.2,50
2023,Sep,Atlantic,14.51,36.59,0
2021,Oct,Atlantic,22.7,33.16,50
2022,Sep,Indian,22.64,34.08,100
2022,Oct,Atlantic,21.19,30.65,50
2020,Jun,Atlantic,18.95,30.94,10
2018,Jan,Pacific,27.13,34.09,10
2018,Aug,Atlantic,17.27,30.33,50
2020,Sep,Indian,10.45,30.25,0
2020,Aug,Pacific,1.78,30.73,0
2020,Jan,Atlantic,16.07,31.63,0
2021,Dec,Pacific,6.83,30.68,0
2023,Jun,Atlantic,11.61,31.79,10
2018,Sep,Atlantic,1.5,35.17,0
2021,Sep,Pacific,19.23,32.91,0
2020,Jul,Atlantic,26.6,34.65,50
2018,Jul,Indian,9.75,35.35,200
2021,Apr,Atlantic,24.15,32.3,200
2023,Jul,Pacific,3.79,36.26,0
2021,Oct,Pacific,21.69,36.03,0
2023,May,Atlantic,2.39,32.89,200
2020,Nov,Indian,7.76,35.78,0
2023,Oct,Atlantic,10.81,32.36,0
2018,May,Atlantic,4.7,35.06,50
2020,Jan,Atlantic,5.53,36.8,10
2018,Feb,Atlantic,20.97,32.18,200
2022,Sep,Indian,2.87,34.01,0
2019,Feb,Atlantic,28.02,32.52,10
2023,Oct,Indian,23.05,33.48,100
2019,Nov,Atlantic,10.7,31.52,0
2019,Dec,Indian,18.86,33.0,0
2023,Feb,Atlantic,21.58,34.51,200
2020,Sep,Pacific,17.83,32.41,50
2022,Mar,Atlantic,18.55,32.02,100
2018,Feb,Atlantic,27.48,32.32,0
2021,Jul,Pacific,26.43,32.19,0
2018,Dec,Pacific,27.41,31.12,0
2021,Sep,Atlantic,26.56,36.34,200
2018,Nov,Indian,20.56,36.69,200
2023,Jun,Pacific,14.75,31.85,0
2022,Dec,Pacific,14.62,34.32,200
2021,Jul,Pacific,23.15,32.21,200
2020,Mar,Pacific,27.72,34.06,200
2018,Nov,Pacific,2.64,32.05,10
2018,Mar,Pacific,26.3,30.43,10
2021,Aug,Atlantic,25.49,31.05,100
2020,Jul,Atlantic,2.63,33.66,0
2020,May,Pacific,19.7,31.75,100
2023,Jun,Indian,29.16,33.39,100
2023,Sep,Indian,25.55,36.37,50
2023,Mar,Indian,1.89,30.29,200
2023,Dec,Atlantic,27.76,35.71,100
2023,Mar,Atlantic,5.19,33.41,50
2023,Nov,Atlantic,2.17,31.08,200
2022,Jun,Atlantic,6.84,31.63,50
2020,Nov,Pacific,14.5,36.94,50
2023,Aug,Pacific,24.46,32.43,10
2020,May,Indian,8.01,30.45,50
2020,Jan,Indian,11.71,34.1,200
2019,Mar,Pacific,4.23,31.35,50
2022,Aug,Indian,8.75,36.29,50
2023,Apr,Atlantic,27.06,32.48,50
2018,Sep,Indian,20.42,34.33,50
2021,Jun,Atlantic,20.22,35.96,50
2018,Oct,Indian,7.5,36.89,100
2022,Apr,Atlantic,4.39,36.71,50
2021,Apr,Indian,26.62,30.79,100
2022,Oct,Atlantic,28.31,32.36,0
2020,May,Pacific,1.61,34.5,0
2021,Jul,Pacific,15.9,30.87,50
2020,Dec,Atlantic,13.19,32.68,200
2018,Jul,Pacific,22.15,36.65,10
2018,Oct,Indian,9.05,31.34,100
2021,Jul,Pacific,18.62,33.48,50
2021,May,Atlantic,2.48,30.35,200
2023,Dec,Pacific,24.69,34.48,10
2022,Sep,Indian,7.16,34.15,200
2023,Feb,Atlantic,9.42,35.85,10
2022,Aug,Pacific,11.35,36.1,10
2023,Oct,Pacific,6.2,31.49,50
2020,Aug,Pacific,24.27,36.01,0
2021,Mar,Indian,2.06,36.86,200
2018,May,Pacific,28.01,36.19,200
2022,Aug,Indian,27.92,36.05,50
2022,Oct,Atlantic,24.82,34.0,100
2018,Sep,Indian,28.56,34.59,0
2023,Jul,Pacific,22.83,35.52,200
2022,Apr,Atlantic,16.88,31.25,10
2020,Apr,Pacific,21.65,36.84,50
2021,Mar,Pacific,0.12,32.09,200
2018,Nov,Indian,20.56,33.6,0
2021,Aug,Pacific,1.26,33.84,100
2022,Jun,Indian,26.63,35.86,10
2022,Oct,Atlantic,26.9,33.26,200
2018,Jun,Atlantic,3.43,32.9,200
2020,Oct,Atlantic,20.39,32.48,50
2019,Oct,Pacific,20.04,36.19,10
2018,Sep,Indian,14.94,35.96,100
2019,Nov,Pacific,0.75,33.0,0
2023,Mar,Pacific,3.42,32.91,200
2019,Apr,Indian,19.78,31.32,100
2020,Mar,Pacific,15.89,33.52,10
2023,Mar,Atlantic,1.39,32.38,0
2019,Jan,Indian,15.53,32.84,200
2023,Oct,Atlantic,25.48,31.37,10
2019,Jun,Pacific,26.71,34.31,100
2020,Sep,Pacific,20.91,33.05,200
2019,May,Atlantic,19.88,36.35,200
2019,Dec,Pacific,23.07,32.98,0
2019,Dec,Pacific,4.0,35.52,10
2018,Dec,Indian,5.71,34.16,10
2018,Oct,Indian,14.57,36.29,10
2018,Feb,Atlantic,13.53,36.02,100
2020,Oct,Pacific,5.53,36.05,10
2023,Apr,Atlantic,20.35,36.85,200
2022,Dec,Pacific,22.23,30.76,200
2019,Jun,Indian,8.13,31.94,0
2019,Jul,Indian,9.39,30.0,50
2020,Dec,Pacific,7.72,35.65,100
2019,Jul,Indian,8.36,34.88,10
2018,Apr,Indian,10.94,36.51,100
2022,Oct,Pacific,13.23,34.96,200
2021,Oct,Indian,14.53,30.41,50
2019,May,Pacific,14.55,31.52,100
2018,Apr,Atlantic,18.52,30.65,200
2021,Dec,Pacific,10.32,30.11,50
2022,Oct,Atlantic,15.1,31.9,50
2021,Jun,Pacific,15.18,34.06,10
2018,Nov,Pacific,2.9,36.1,50
2023,Jul,Pacific,18.88,34.65,50
2023,Feb,Pacific,8.35,31.29,50
2021,Oct,Pacific,1.41,33.37,50
2020,Dec,Atlantic,19.41,31.61,100
2021,Mar,Indian,1.45,34.17,10
2019,Nov,Pacific,13.26,34.2,0
2019,Aug,Atlantic,18.63,32.49,0
2023,Jul,Atlantic,29.96,31.17,10
2020,Dec,Pacific,15.45,35.02,0
2018,Jan,Pacific,9.55,32.1,10
2019,Apr,Pacific,14.76,36.5,200
2023,May,Atlantic,5.87,32.76,50
2022,Mar,Pacific,13.14,30.05,100
2023,Apr,Pacific,26.19,33.78,50
2019,Oct,Indian,4.08,33.57,50
2019,Oct,Atlantic,15.9,32.47,200
2023,Oct,Pacific,18.62,30.91,0
2018,Jul,Atlantic,9.39,34.75,0
2021,Aug,Pacific,22.08,32.09,0
2019,Dec,Pacific,19.91,30.32,100
2023,Sep,Atlantic,13.92,36.4,200
2023,Feb,Atlantic,19.2,31.13,200
2020,Apr,Atlantic,25.21,31.05,10
2021,Jan,Atlantic,18.01,31.02,50
2022,Mar,Indian,17.06,31.69,200
2018,Aug,Atlantic,18.64,31.63,50
2022,Jul,Pacific,20.27,30.97,10
2021,Aug,Pacific,12.09,35.35,200
2021,Nov,Atlantic,25.1,35.06,100
2021,Jun,Atlantic,27.72,30.28,0
2022,May,Atlantic,18.66,30.87,100
2021,Dec,Atlantic,26.6,35.56,200
2023,Dec,Atlantic,22.34,33.72,200
2022,Oct,Pacific,12.69,31.47,10
2021,Sep,Indian,14.88,35.53,100
2023,May,Atlantic,17.1,35.2,50
2020,Sep,Atlantic,28.17,35.09,200
2021,Apr,Atlantic,19.44,30.59,100
2022,Dec,Atlantic,15.26,35.27,0
2019,May,Indian,3.7,32.81,10
2021,Jan,Indian,20.01,31.52,10
2019,Jun,Pacific,16.64,33.23,50
2023,Mar,Atlantic,28.2,32.09,200
2020,Nov,Atlantic,10.26,36.1,50
2018,Oct,Pacific,23.86,33.61,200
2020,Feb,Pacific,8.48,34.88,0
2021,Jun,Atlantic,5.15,30.6,200
2019,Jan,Indian,0.37,32.21,100
2019,Dec,Pacific,26.86,34.79,100
2022,Sep,Atlantic,13.34,31.96,10
2019,May,Atlantic,8.44,34.02,0
2022,Jul,Atlantic,12.09,31.95,0
2023,Nov,Pacific,21.36,31.78,100
2018,Oct,Pacific,11.8,31.53,0
2021,Sep,Pacific,6.77,31.6,50
2022,Sep,Atlantic,2.63,35.23,200
2018,Jul,Pacific,18.65,30.25,50
2019,Apr,Atlantic,29.18,31.74,0
2019,Apr,Indian,19.04,36.37,100
2018,Jul,Indian,28.41,32.26,0
2019,Aug,Indian,26.34,32.65,0
2023,Jul,Pacific,4.68,35.52,50
2023,Nov,Atlantic,26.37,34.93,200
2018,Oct,Pacific,0.03,30.18,50
2022,Apr,Indian,15.29,30.75,100
2022,Apr,Atlantic,15.68,33.01,10
2018,Aug,Indian,21.8,33.5,10
2022,Dec,Atlantic,22.68,31.16,50
2022,Sep,Pacific,6.95,31.75,100
2023,Jul,Atlantic,26.46,35.48,0
2022,Dec,Indian,5.37,32.72,50
2020,Mar,Atlantic,28.84,35.54,10
2021,Dec,Atlantic,29.55,35.23,200
2019,Oct,Indian,20.9,32.61,50
2020,Jan,Indian,19.46,35.88,0
2022,May,Indian,29.38,34.32,10
2023,Jun,Indian,7.26,30.2,50
2018,Nov,Atlantic,19.28,31.37,200
2022,Sep,Atlantic,12.19,31.44,10
2023,May,Indian,5.03,30.07,0
2021,Jan,Atlantic,3.83,34.89,100
2022,Nov,Indian,21.01,35.03,0
2018,Nov,Atlantic,6.87,35.72,50
2023,Apr,Pacific,17.98,33.39,100
2023,Feb,Atlantic,7.13,32.33,50
2023,Apr,Indian,13.61,34.68,100
2021,Jul,Pacific,22.27,35.27,100
2022,Sep,Pacific,15.84,35.44,0
2021,Dec,Indian,26.14,33.64,0
2019,Mar,Indian,15.79,31.83,0
2019,Mar,Atlantic,5.83,30.64,0
2022,Nov,Atlantic,26.91,33.49,200
2021,Apr,Pacific,12.54,32.29,10
2018,Jul,Atlantic,26.02,36.51,10
2023,Jun,Atlantic,6.97,36.87,200
2023,May,Atlantic,19.09,30.14,100
2022,Apr,Pacific,4.96,36.45,200
2019,Dec,Atlantic,2.4,33.49,10
2019,Aug,Atlantic,29.97,34.96,100
2023,Dec,Indian,0.32,31.26,0
2022,Apr,Pacific,17.74,36.11,10
2021,Mar,Indian,0.4,31.04,0
2019,Jul,Pacific,16.55,35.19,10
2021,Feb,Indian,3.0,35.27,10
2019,Apr,Indian,23.63,30.23,100
2019,Aug,Indian,8.78,34.11,10
2020,Apr,Indian,10.33,34.51,200
2019,Oct,Atlantic,7.57,35.38,100
2018,Dec,Atlantic,3.42,34.63,200
2022,Jul,Atlantic,15.01,30.37,50
2022,Feb,Indian,13.43,33.36,100
2021,Nov,Pacific,16.18,35.76,50
2019,May,Pacific,18.78,34.2,100
2018,Dec,Indian,2.66,31.07,50
2021,Apr,Indian,12.41,31.19,50
2020,Sep,Atlantic,17.78,32.19,0
2021,Jul,Indian,9.69,33.58,50
2021,Sep,Atlantic,5.74,32.31,100
2019,Nov,Atlantic,18.19,31.34,50
2020,Oct,Indian,21.55,34.28,100
2021,Jul,Pacific,22.52,35.74,0
2018,Feb,Pacific,9.77,34.29,200
2018,Dec,Indian,2.97,31.04,50
2022,Feb,Atlantic,27.47,30.29,50
2020,Feb,Atlantic,20.63,34.14,50
2020,May,Pacific,28.45,36.85,50
2022,Jan,Atlantic,4.37,31.32,200
2021,Jul,Pacific,19.72,34.26,50
2020,Feb,Indian,5.89,33.3,200
2018,Apr,Indian,25.99,35.84,200
2018,Sep,Atlantic,15.59,30.41,0
2019,Aug,Indian,15.98,33.06,50
2020,Oct,Indian,27.92,32.1,200
2021,Feb,Atlantic,9.12,31.71,0
2022,Apr,Atlantic,18.57,35.18,100
2022,Apr,Pacific,4.33,31.42,0
2021,Feb,Indian,10.9,32.54,200
2023,Feb,Indian,5.84,36.24,0
2019,May,Atlantic,6.04,35.39,100
2022,Nov,Indian,19.83,34.74,0
2020,Apr,Pacific,8.59,32.57,10
2019,Aug,Pacific,7.53,34.63,100
2020,Apr,Atlantic,24.24,31.12,100
2018,Aug,Indian,14.21,34.35,10
2019,May,Pacific,11.4,31.53,200
2022,Jan,Indian,24.45,31.16,200
2019,Sep,Atlantic,14.66,35.15,0
2019,Aug,Atlantic,24.45,35.72,200
2019,Jan,Indian,9.55,35.92,50
2023,Dec,Pacific,28.86,30.49,10
2019,Mar,Atlantic,27.71,30.91,0
2020,Mar,Indian,24.71,36.31,10
2018,May,Indian,6.38,32.73,50
2021,Jul,Pacific,21.82,35.09,50
2019,Jan,Atlantic,24.53,32.36,100
2022,Jan,Indian,10.9,31.47,100
2019,Oct,Atlantic,4.21,36.64,100
2022,Jun,Atlantic,8.09,31.51,0
2020,May,Atlantic,17.57,34.35,100
2022,Dec,Indian,7.55,32.35,50
2021,Dec,Indian,19.85,36.49,100
2018,Mar,Pacific,11.76,35.71,100
2022,Mar,Pacific,6.77,31.82,10
2022,Apr,Atlantic,18.39,32.87,10
2018,Nov,Indian,2.21,33.78,100
2021,Oct,Atlantic,18.75,30.28,10
2019,Feb,Indian,29.23,32.17,10
2022,Sep,Indian,21.34,34.61,100
2018,Dec,Atlantic,9.84,30.46,200
2020,Apr,Pacific,27.04,32.13,0
2018,Oct,Indian,15.84,34.6,50
2020,Mar,Atlantic,15.85,31.64,100
2021,Oct,Pacific,11.35,31.59,50
2019,Nov,Pacific,1.57,31.41,50
2018,Jul,Indian,8.1,35.61,100
2023,Sep,Atlantic,24.55,35.38,200
2022,Dec,Pacific,7.79,35.07,50
2021,Feb,Indian,12.37,35.75,10
2018,Jun,Atlantic,19.02,30.91,0
2022,May,Indian,8.47,34.74,50
2018,Jan,Atlantic,24.36,33.42,10
2020,Nov,Indian,26.96,32.17,100
2018,Jul,Indian,1.85,32.65,100
2023,Jan,Atlantic,17.24,33.55,50
2018,Oct,Indian,10.48,32.87,100
2018,Sep,Atlantic,16.63,31.05,100
2023,Apr,Pacific,16.4,34.01,50
2021,Aug,Pacific,0.3,30.33,100
2018,Jan,Indian,19.45,31.65,100
2023,May,Atlantic,6.48,35.38,100
2022,Mar,Pacific,16.77,32.05,200
2020,Apr,Atlantic,26.86,36.57,0
2020,Dec,Pacific,5.77,35.86,10
2018,Apr,Atlantic,8.1,32.69,0
2021,Aug,Atlantic,1.91,36.3,200
2021,Oct,Pacific,14.75,31.19,200
2022,Oct,Pacific,26.1,31.39,200
2018,Mar,Indian,16.34,35.86,100
2020,Jan,Atlantic,10.57,35.77,10
2021,May,Indian,27.17,35.23,0
2018,Feb,Pacific,15.97,35.53,200
2021,Nov,Pacific,29.21,33.93,100
2023,Jun,Atlantic,22.51,30.54,50
2021,Apr,Atlantic,27.34,36.26,10
2020,Sep,Pacific,19.45,30.92,0
2019,Jul,Indian,29.68,31.2,0
2022,Feb,Atlantic,15.76,35.55,100
2022,Jul,Atlantic,19.22,30.36,100
2020,Oct,Indian,4.03,33.44,100
2021,Aug,Pacific,28.1,31.87,50
2018,Mar,Pacific,10.05,32.38,0
2021,Mar,Pacific,19.95,32.72,50
2020,Nov,Pacific,10.82,31.22,0
2022,Feb,Indian,26.56,35.64,100
2021,Dec,Pacific,3.31,32.0,10
2022,Jan,Atlantic,27.04,32.86,100
2018,Mar,Atlantic,18.77,30.53,200
2022,Oct,Atlantic,28.7,30.68,50
2022,Dec,Indian,15.11,34.17,0
2019,Nov,Indian,14.8,32.97,100
2019,Jul,Atlantic,10.76,33.42,10
2023,Nov,Pacific,9.87,34.19,50
2019,Sep,Pacific,3.7,35.97,50
2022,Sep,Pacific,9.82,31.65,50
2020,Jun,Pacific,18.27,30.3,50
2022,Jun,Atlantic,2.53,33.48,50
2020,Nov,Pacific,5.58,33.99,100
2020,May,Indian,25.8,30.31,50
2019,Feb,Pacific,2.74,30.92,50
2021,Jul,Pacific,7.24,36.14,50
